Date,AAPL,AMD,BAC,BRCD,CHK,CMCSA,CSCO,F,FHN,GE,INTC,JPM,MSFT,MU,RAD,SIRI,T,TEVA,VALE,VZ,WFC,WFT
2011-10-03,47.971996000000004,4.53,5.205925,3.9063790000000003,21.354963,8.858219,12.641869,7.383767999999999,5.122039,11.978748,16.825785,24.15519,20.7318,4.33,0.91,1.4090639999999999,20.347578,30.638651,16.781389,27.237915,19.480219,11.46
2011-10-04,47.703072,4.72,5.422445,4.094638,22.388842,9.210633999999999,13.017866,7.943264,5.404069,12.117369,17.315382,25.737185999999998,21.416377999999998,4.52,0.96,1.4285,20.455967,30.142576000000002,16.881186,27.282887,20.345819,11.98
2011-10-05,48.439415000000004,4.83,5.431858,4.217007,22.629488000000002,9.410769,13.502481,8.321516,5.540535,12.451702000000001,17.829456,26.230495,21.881218,4.95,0.99,1.4285,20.771465,31.286076,17.541386,27.184092,20.589531,12.8
2011-10-06,48.326725,4.85,5.9119720000000004,4.395854,23.092949,9.610909,13.995460999999999,8.660364,5.740687,12.663714,17.976339000000003,27.540319,22.261539000000003,4.96,1.02,1.46737,20.844837,31.597171999999997,18.324419,27.290484999999997,21.320671,13.22
2011-10-07,47.357307,4.73,5.554241,4.471158,22.593832,9.597854,13.92026,8.423957000000001,5.531438,12.639252,18.188503,26.111425,22.185472,4.95,0.93,1.477088,20.866844,30.899305,17.932899,27.480472999999996,20.623148,13.11
2011-10-10,49.791752,4.84,5.9119720000000004,4.602938,23.841621,10.028583,14.279544,8.833728,5.767981,13.161128,18.669928,27.472271000000003,22.768641,5.16,0.96,1.603418,21.402456,31.765324,18.600776999999997,28.042852000000003,21.959364,13.65
2011-10-11,51.261902,4.86,5.996696,4.584112999999999,23.725756,9.998128999999999,14.195993,8.857368,5.886251000000001,13.161128,18.759689,27.472271000000003,22.819349,5.2,0.99,1.613135,21.108978,32.042789,18.869464999999998,27.738867,21.892129999999998,13.85
2011-10-12,51.505219,4.93,6.19439,4.235832,23.841621,10.267877,14.413234,8.96769,6.104597,13.373144,18.86577,28.237759000000004,22.785542,5.2,1.03,1.6617240000000002,21.27039,32.816319,19.360777,27.868065,22.648483,13.95
2011-10-13,52.304328999999996,4.97,5.855486,4.160529,23.930752,10.250473,14.555279999999998,8.936169,5.9317400000000005,13.226366,19.086085999999998,26.876902,22.971476000000003,5.52,1.03,1.6714419999999999,21.351097,32.807915,19.284010000000002,28.13405,21.950960000000002,13.93
2011-10-14,54.04213000000001,4.92,5.827245,4.245246,24.732895000000003,10.415805,14.663897,9.109533,5.968131,13.536229999999998,19.175846,27.123554,23.047539,5.7,1.06,1.7491830000000002,21.402456,32.934021,19.514313,28.369640000000004,22.413176999999997,14.78
2011-10-17,53.784729000000006,4.67,5.676622,4.094638,24.33182,10.189563,14.346392000000002,8.983452,5.695198,13.234519,18.996328,26.400606,22.802443,5.44,1.03,1.72003,21.292402,33.034931,18.311604,28.073248,20.522301000000002,14.44
2011-10-18,54.07286800000001,4.83,6.250873,4.1887669999999995,24.385298000000002,10.346192,14.630473,9.2829,6.068206,13.625926999999999,19.094244,27.957075,23.081345000000002,5.77,1.07,1.72003,21.431807,33.16946,18.610123,28.301246999999996,21.73246,15.11
2011-10-19,51.048041999999995,4.73,6.024939,4.047573000000001,24.153568,10.241773,14.338035000000001,9.109533,5.949935,13.470998000000002,19.779682,27.429746999999995,22.929216,5.53,1.03,1.6714419999999999,21.343763,32.883590999999996,17.761707,28.156845,21.160999,14.65
2011-10-20,50.624161,4.54,6.0908370000000005,4.028748,24.33182,10.254823,14.363098,9.219858,6.186477,13.560692999999999,19.265606,28.178223,22.853153,5.59,1.06,1.700595,21.27039,32.37912,17.447481,28.194846999999996,21.648422,14.74
2011-10-21,50.311690999999996,4.72,6.081422,4.028748,24.786371,10.585484,14.521854999999999,9.66115,6.29565,13.299754,19.608322,28.424878999999997,22.954570999999998,5.46,1.09,1.729748,21.373112,32.925621,17.918820999999998,28.438042,22.11063,15.03
2011-10-24,51.963688,5.06,6.326186,4.113462999999999,25.240925,10.733411,14.655543,9.858157,6.4958,13.413917999999999,20.065281,29.402996,22.979929000000002,5.66,1.08,1.788054,21.18968,33.236729,19.309278,28.065657,22.287119,15.12
2011-10-25,50.93919,4.91,6.081422,3.962857,24.340733,10.533274,14.722385999999998,9.795114,6.122793,13.226366,20.097918,28.484409000000003,22.65877,5.49,1.04,1.7491830000000002,20.844837,32.883590999999996,18.924349,27.503269,21.471941,14.67
2011-10-26,51.301609,5.1,6.203805,4.047573000000001,25.089411,10.789971000000001,14.714032000000001,9.353823,6.304747,13.332373,20.155043,29.071283,22.47283,5.47,1.07,1.739465,21.094296,33.867313,19.544949,27.974455,21.648422,15.28
2011-10-27,51.825382,5.54,6.7968839999999995,4.179354,25.98959,10.698605,15.407538,9.519306,6.632267,14.164113,20.50592,31.486798999999998,23.030635999999998,5.7,1.19,1.7783360000000001,21.62257,35.338718,20.786146,28.620428000000004,22.749326999999997,16.280001000000002
2011-10-28,51.858684999999994,5.94,6.919264999999999,4.245246,26.506533,10.376646000000001,15.507803,9.456267,6.632267,14.066264000000002,20.383518,31.206121000000003,22.802443,5.88,1.19,1.788054,21.820679000000002,35.599361,20.911839999999998,28.597634999999997,22.757738,16.290001
